Gene_Symbol,Chr,Start,End,Strand,GeneLength,MOGSP_2,MOGSP_3,MOG_3,MOG_4,MOG_5,Ly49N_1,Ly49P_1,Ly49N_2,Ly49P_2,Ly49N_3,Ly49P_3
Tyw3,chr3,154576431,154597104,-,20673,36,58,51,103,24,104,185,124,228,82,260
Cryz,chr3,154596711,154623182,+,26471,120,185,47,49,179,113,135,170,140,105,197
Gm38139,chr3,154656701,154680269,+,23568,0,0,0,0,0,2,0,0,0,0,0
Erich3,chr3,154663859,154767790,+,103931,0,0,0,0,0,37,0,39,4,37,11
Gm20389,chr3,154708658,154711343,-,2685,0,0,0,0,0,0,0,0,0,0,0
Tnni3k,chr3,154786291,155055407,-,269116,0,0,0,0,0,7,0,20,1,2,3
Gm18589,chr3,154839607,154849554,+,9947,0,0,0,0,0,1,0,2,1,2,0
Gm37890,chr3,154921296,154925287,+,3991,0,0,0,0,0,3,0,1,0,0,0
Fpgt,chr3,155084918,155093403,-,8485,251,935,280,597,823,444,1008,568,830,598,968
Gm26456,chr3,155092018,155092128,+,110,2,3,0,0,3,0,3,0,2,2,3
Lrriq3,chr3,155093434,155194280,+,100846,0,39,0,0,4,11,15,9,9,8,8
Gm37482,chr3,155094865,155097655,+,2790,0,0,0,0,11,4,1,6,2,7,1
Gm5285,chr3,155276058,155276723,-,665,0,0,0,0,0,5,0,0,0,3,0
Scp2-ps1,chr3,155514441,155515311,+,870,0,0,0,0,0,1,0,3,1,0,2
Gm37449,chr3,155754971,155755240,-,269,0,0,0,0,0,2,1,3,0,0,0
Gm37324,chr3,155771325,155775828,-,4503,0,1,0,0,2,2,0,2,5,0,5
Gm23038,chr3,155788365,155788468,-,103,0,0,0,0,0,1,0,1,0,0,1
Gm37102,chr3,155903348,155904452,+,1104,0,0,0,0,0,0,0,6,0,1,0
Gm37515,chr3,155904509,155908325,+,3816,0,0,0,0,0,1,0,5,0,0,0
9330178D15Rik,chr3,155976354,156008592,+,32238,0,0,0,0,0,2,0,12,0,5,0
Gm42947,chr3,156040102,156045856,-,5754,0,0,0,0,0,6,0,3,0,3,0
Gm6510,chr3,156060891,156062063,+,1172,0,0,0,0,0,0,0,2,0,0,0
Gm42886,chr3,156264586,156265051,+,465,0,0,0,0,0,1,0,0,0,0,0
4930570G19Rik,chr3,156546753,156561746,-,14993,0,0,0,0,0,6,0,9,1,4,0
Negr1,chr3,156561794,157316445,+,754651,0,0,0,0,0,4,1,12,1,3,3
Gm42946,chr3,156646320,156648889,+,2569,0,0,0,0,0,7,0,16,0,16,8
Gm42942,chr3,156703900,156705227,+,1327,0,0,0,0,0,1,0,3,0,4,0
Gm42943,chr3,156731098,156734339,+,3241,0,0,0,0,0,0,0,2,0,4,0
Gm43528,chr3,156737540,156739213,+,1673,0,0,0,0,0,10,0,11,2,3,5
Gm15578,chr3,156816037,156816511,+,474,0,0,0,0,0,1,0,0,0,0,0
Gm15577,chr3,156903863,156920780,-,16917,0,0,0,0,0,0,0,2,0,3,0
Gm43527,chr3,157000417,157003594,+,3177,0,0,0,0,0,10,0,18,0,22,6
Gm43526,chr3,157071744,157073308,+,1564,0,0,0,0,0,0,0,1,0,5,0
4930566N20Rik,chr3,157207662,157208860,-,1198,0,0,0,0,0,0,0,1,0,0,0
Gm24373,chr3,157210929,157211060,+,131,0,0,0,0,0,0,0,0,0,0,0
Gm23725,chr3,157237225,157237331,-,106,0,0,0,0,0,2,0,0,0,0,0
Gm22458,chr3,157365998,157366104,+,106,0,0,0,0,0,0,0,0,0,0,0
Gm23379,chr3,157398262,157398368,-,106,0,0,0,0,0,0,0,2,0,1,0
Gm5983,chr3,157410017,157410786,+,769,0,0,1,0,0,1,2,5,3,3,6
4930592C13Rik,chr3,157527515,157534090,-,6575,0,0,0,2,0,10,1,1,5,11,4
Zranb2,chr3,157534160,157548410,+,14250,1102,2044,1542,2162,1784,665,1188,845,1219,975,1783
Mir186,chr3,157544279,157544349,+,70,2,9,0,1,0,0,1,3,2,1,4
Ptger3,chr3,157566892,157645888,+,78996,1,0,0,0,0,9,7,13,0,7,15
Gm33466,chr3,157720404,157726408,-,6004,0,0,0,0,0,0,0,4,0,1,1
Gm5550,chr3,157816720,157817795,-,1075,1,0,0,0,1,3,0,1,0,0,1
Gm6520,chr3,157888465,157888874,-,409,1,5,1,2,1,30,28,29,24,27,11
Cth,chr3,157894248,157925077,-,30829,0,0,0,0,0,9,2,6,2,6,1
Gm43314,chr3,157894961,157897191,-,2230,0,0,0,0,0,25,1,44,6,49,5
1810013D15Rik,chr3,157925220,157938355,+,13135,0,0,0,0,0,4,0,4,1,0,3
Ankrd13c,chr3,157947239,158008034,+,60795,430,743,628,999,976,975,1521,975,1085,1056,1595
Gm42611,chr3,157980248,157983654,+,3406,0,0,21,51,0,13,18,14,23,23,49
Srsf11,chr3,158010473,158036639,-,26166,5305,8777,7570,10523,10304,4383,7836,4798,8188,4421,8734
Gm43362,chr3,158033940,158036409,-,2469,251,304,491,495,470,149,301,162,317,124,279
Lrrc40,chr3,158036662,158068487,+,31825,570,1040,373,980,1000,346,502,461,436,458,523
B230334C09Rik,chr3,158067186,158076112,-,8926,0,12,0,0,0,5,0,9,8,12,16
Lrrc7,chr3,158082891,158562221,-,479330,0,0,0,0,0,52,4,75,8,39,11
Gm42968,chr3,158180236,158181607,+,1371,0,0,0,0,0,0,0,0,0,0,0
Gm43485,chr3,158206869,158208578,+,1709,0,0,0,0,0,16,0,23,3,19,8
Gm43486,chr3,158294414,158298752,+,4338,0,0,0,0,0,5,0,2,0,1,0
Gm43487,chr3,158488991,158490021,+,1030,0,0,0,0,0,7,0,9,0,7,0
Gm9423,chr3,158960446,158961442,+,996,0,0,0,0,0,0,0,1,0,1,0
Gm20752,chr3,159076364,159308081,+,231717,0,0,0,0,0,8,0,8,2,8,2
Gm43655,chr3,159491418,159491639,+,221,1,0,1,0,0,0,4,3,3,0,3
Depdc1a,chr3,159495433,159529955,+,34522,23,30,0,0,1,2,3,10,2,21,22
Rpe65,chr3,159599175,159625321,+,26146,0,0,0,0,0,4,0,5,3,6,4
Wls,chr3,159839672,159938664,+,98992,581,720,908,839,1170,630,2006,1082,1603,878,1917
Gm43307,chr3,159875846,159878216,+,2370,0,0,0,0,0,0,1,0,1,3,2
Gm23941,chr3,159916255,159916361,-,106,0,0,0,0,0,0,0,0,0,0,0
Gm27878,chr4,3051714,3051819,-,105,0,0,0,0,0,1,0,7,0,0,0
Vmn1r-ps2,chr4,3103759,3104592,-,833,0,0,0,0,0,0,1,1,0,0,0
Vmn1r-ps3,chr4,3139141,3140057,-,916,0,0,0,0,0,0,0,0,0,1,0
Vmn1r2,chr4,3167320,3173006,+,5686,0,0,0,0,0,0,0,1,0,2,0
Vmn1r3,chr4,3184348,3185358,-,1010,0,0,0,0,0,0,0,3,0,0,0
AI838599,chr4,3242055,3258092,+,16037,0,0,0,0,0,12,1,24,4,13,13
Gm11783,chr4,3258349,3259233,+,884,0,0,0,0,0,0,0,0,0,0,0
Gm11786,chr4,3327175,3327329,+,154,0,0,0,0,0,0,0,0,0,0,0
Gm11784,chr4,3386846,3388691,+,1845,0,0,0,0,0,4,0,0,0,2,0
Gm11785,chr4,3455702,3456302,+,600,0,0,0,0,0,3,0,9,0,9,0
Gm11787,chr4,3496978,3516515,-,19537,0,0,0,0,0,0,1,1,0,5,7
Mir3471-2,chr4,3537090,3537191,+,101,0,0,0,0,0,1,0,0,0,0,0
Tmem68,chr4,3549041,3574853,-,25812,744,861,972,528,1099,468,683,481,596,596,810
Tgs1,chr4,3574875,3616619,+,41744,1277,1453,635,1242,1805,605,1625,739,1631,585,1883
Gm22541,chr4,3619189,3619315,+,126,0,0,0,0,0,0,0,5,2,1,0
2210414B05Rik,chr4,3656508,3663108,+,6600,0,0,0,0,0,0,0,0,0,0,1
Lyn,chr4,3678115,3813122,+,135007,124,111,224,150,37,52,1077,28,786,45,1262
Gm11805,chr4,3720427,3721026,-,599,0,0,0,0,0,0,2,3,1,6,3
Gm22781,chr4,3796447,3796583,-,136,0,0,0,0,0,0,0,0,0,0,1
9430025C20Rik,chr4,3806635,3808751,-,2116,0,0,0,0,0,3,2,8,5,5,15
Rps20,chr4,3831334,3835665,-,4331,4084,7365,8731,9124,6354,12834,9724,15607,9538,14071,8665
Gm24016,chr4,3835079,3835146,-,67,0,0,0,0,0,0,0,0,0,0,0
Gm24125,chr4,3857477,3857613,-,136,0,0,0,0,0,1,0,4,0,1,1
Mos,chr4,3870657,3872105,-,1448,0,0,0,0,0,3,0,0,0,0,0
Plag1,chr4,3900996,3938423,-,37427,0,0,0,0,0,8,5,10,12,6,22
Chchd7,chr4,3938888,3951046,+,12158,371,738,905,600,484,778,1181,1028,1087,825,1123
Gm11808,chr4,3973092,3973595,-,503,64,100,106,89,79,158,136,229,103,186,81
Rps10-ps3,chr4,3978251,3978750,-,499,0,0,0,0,0,11,0,7,0,2,3
Sdr16c5,chr4,3995936,4019663,-,23727,0,0,0,0,0,9,0,7,3,0,1
Sdr16c6,chr4,4055929,4077522,-,21593,0,0,0,0,0,6,0,0,0,0,0
Penk,chr4,4133531,4138819,-,5288,0,0,32,0,0,9,5,5,0,0,1
A830012C17Rik,chr4,4138321,4188703,+,50382,0,0,0,0,0,0,0,0,0,2,0
Gm11780,chr4,4528204,4528719,-,515,0,0,0,0,0,4,0,0,0,0,0
Gm26436,chr4,4729573,4729704,+,131,0,0,0,0,0,3,0,4,0,0,0
Impad1,chr4,4762484,4793355,-,30871,773,752,398,802,666,345,1014,401,813,413,1014
Gm11779,chr4,4978507,4978874,-,367,0,0,0,0,0,0,0,0,0,0,0
Gm11782,chr4,5545238,5551223,-,5985,0,0,0,0,0,0,0,0,0,0,0
Gm11781,chr4,5602924,5603395,-,471,0,0,0,0,0,0,4,11,1,4,3
4930423M02Rik,chr4,5632328,5642284,+,9956,0,0,0,0,0,1,0,3,1,3,1
Fam110b,chr4,5644090,6108223,+,464133,0,97,0,0,102,61,17,70,22,43,38
Gm24337,chr4,5687677,5687802,-,125,0,0,0,0,0,0,0,2,0,0,0
Gm11796,chr4,5854516,5855487,-,971,0,0,0,0,0,43,0,50,2,23,7
Gm11797,chr4,6069874,6070627,+,753,0,0,0,0,0,0,0,0,0,0,0
Ubxn2b,chr4,6191098,6221688,+,30590,760,868,555,389,828,333,1070,449,935,663,1362
Gm11798,chr4,6260091,6260965,-,874,0,0,0,0,0,1,0,2,0,1,0
Cyp7a1,chr4,6265612,6275633,-,10021,0,0,0,0,0,7,0,20,2,10,3
4930430E12Rik,chr4,6352105,6357530,-,5425,0,0,0,0,0,2,0,11,2,2,1
Sdcbp,chr4,6365650,6408423,+,42773,11491,11490,7826,13260,14000,8112,15673,10277,11160,11394,17297
Gm37689,chr4,6378018,6378292,+,274,0,0,0,0,0,0,0,0,0,0,0
Nsmaf,chr4,6396207,6454271,-,58064,3150,3907,2654,5145,3611,2377,8226,2469,6336,2323,9188
Gm11803,chr4,6507941,6508384,-,443,0,0,0,0,0,11,2,1,3,5,3
Gm11801,chr4,6539561,6540306,+,745,0,0,0,0,0,1,0,0,0,0,0
Gm22473,chr4,6634164,6634295,-,131,0,0,0,0,0,0,0,0,0,0,0
Tox,chr4,6686353,6991557,-,305204,564,717,508,735,560,622,1968,736,1369,637,1782
Gm11802,chr4,6688169,6704160,+,15991,0,0,0,0,0,0,0,0,3,0,4
Gm11804,chr4,7039047,7039514,-,467,0,0,0,0,0,1,0,0,0,0,1
8430436N08Rik,chr4,7560688,7573801,+,13113,0,0,0,0,0,2,0,0,0,1,0
Gm11795,chr4,7759670,7763930,+,4260,0,0,0,0,0,0,0,0,0,0,0
Gm11794,chr4,7763264,7763500,-,236,0,0,0,0,0,0,0,0,0,0,0
Gm23860,chr4,7820916,7821047,+,131,0,0,0,0,0,1,0,0,0,0,0
Gm11800,chr4,8118620,8119736,+,1116,0,0,0,0,0,0,0,1,0,1,0
Car8,chr4,8143362,8239041,-,95679,0,0,0,0,0,3,0,2,0,1,1
Gm11799,chr4,8166894,8167353,-,459,0,0,0,0,0,0,0,1,0,0,0
Gm25355,chr4,8235582,8235682,+,100,0,0,0,0,0,0,0,0,0,0,0
Gm37386,chr4,8438522,8454247,-,15725,0,0,0,0,0,0,0,0,0,1,0
Gm11810,chr4,8456166,8456498,-,332,0,0,1,1,2,8,3,6,4,2,1
Rab2a,chr4,8535644,8607778,+,72134,5996,6593,6850,7719,7926,4332,6926,5262,6477,4813,7638
Gm11809,chr4,8672633,8673582,-,949,0,0,0,1,0,0,0,0,0,2,0
Chd7,chr4,8690406,8867659,+,177253,2880,6025,3112,4653,3859,1678,9399,1928,11264,1199,12337
Rps18-ps2,chr4,8941259,8941656,+,397,0,0,0,0,0,0,0,0,0,0,0
Gm23423,chr4,9210003,9210108,+,105,0,0,0,0,0,0,0,0,0,1,0
Clvs1,chr4,9269293,9451691,+,182398,0,0,0,0,0,8,0,6,0,5,1
Gm11816,chr4,9283972,9287391,-,3419,0,0,0,0,0,5,0,2,0,4,0
Gm11817,chr4,9431961,9447199,-,15238,0,0,0,0,0,2,0,6,0,2,1
Asph,chr4,9448069,9669344,-,221275,39,4,0,47,0,26,36,49,48,30,42
Gm25677,chr4,9669279,9669350,+,71,0,0,0,0,0,0,0,0,0,0,0
Gm24152,chr4,9695645,9695807,-,162,0,0,0,0,0,0,0,0,0,0,0
4930412C18Rik,chr4,9770585,9823411,+,52826,0,0,0,0,0,1,1,8,0,3,2
Gdf6,chr4,9844372,9862345,+,17973,0,0,0,0,0,0,0,7,0,2,1
4930448K20Rik,chr4,9915965,9917635,-,1670,0,0,0,0,0,2,0,4,1,1,0
Gm11834,chr4,9958208,9959130,+,922,0,0,0,0,0,0,0,0,0,0,0
Gm11835,chr4,9959354,9960016,+,662,0,0,0,0,0,0,0,0,0,0,0
Gm11814,chr4,10438815,10439743,-,928,18,13,5,5,3,64,23,65,25,45,25
1700123O12Rik,chr4,10479962,10797811,-,317849,0,0,0,0,0,6,0,3,1,2,1
Gm11815,chr4,10487956,10489362,-,1406,0,0,0,2,0,0,0,2,0,0,2
Gm11813,chr4,10580812,10581102,+,290,0,0,0,0,0,0,0,0,0,0,0
Gm12920,chr4,10813543,10814728,+,1185,0,0,0,0,0,6,7,13,5,8,2
Mir3471-1,chr4,10845500,10845630,-,130,0,0,0,0,0,0,0,0,0,0,0
Gm12918,chr4,10848420,10849055,+,635,67,71,71,82,58,210,163,238,112,218,131
Gm12919,chr4,10853843,10855436,+,1593,2,0,1,0,0,3,7,14,5,9,5
n-TSaga9,chr4,10874064,10874170,+,106,0,0,0,0,0,0,0,0,0,0,0
2610301B20Rik,chr4,10874498,10899425,+,24927,338,464,204,644,888,426,382,667,404,728,425
Rps11-ps3,chr4,10946608,10947093,+,485,3,1,3,1,0,7,4,3,5,2,5
Plekhf2,chr4,10988662,11007927,-,19265,1301,1314,916,1565,1949,724,1269,743,1222,755,1519
Ndufaf6,chr4,11051045,11076205,-,25160,333,516,749,539,242,402,653,526,440,551,719
Gm11827,chr4,11122805,11126998,+,4193,0,0,0,0,0,0,1,0,6,7,0
Gm11829,chr4,11133327,11133608,+,281,0,0,0,0,0,0,0,1,0,4,0
Mir684-2,chr4,11134097,11134182,+,85,0,0,0,0,0,0,0,1,1,1,1
Gm11830,chr4,11144710,11145270,+,560,1,1,0,1,0,0,0,1,0,1,0
Trp53inp1,chr4,11156431,11174379,+,17948,2718,3233,1721,2932,3666,810,3328,968,2610,1168,4223
Ccne2,chr4,11191351,11204779,+,13428,222,221,37,76,212,1,49,19,51,12,138
Ints8,chr4,11199158,11254258,-,55100,1056,2062,1944,1820,1443,1164,2870,1416,2322,1510,3228
Dpy19l4,chr4,11261315,11322137,-,60822,36,203,154,47,59,46,81,53,116,65,131
Gm22940,chr4,11279265,11279419,-,154,0,0,0,0,0,0,0,1,0,0,0
Esrp1,chr4,11331933,11386783,-,54850,0,0,0,0,0,9,3,9,2,5,5
Gm11821,chr4,11400346,11401324,+,978,0,0,0,0,0,0,1,11,2,2,4
Gm11822,chr4,11420350,11420764,-,414,0,0,0,0,0,0,0,0,0,3,0
Virma,chr4,11485958,11550684,+,64726,1076,1993,976,1777,2678,1430,3558,1596,3635,1413,3895
Gm11831,chr4,11501456,11502839,-,1383,0,10,0,0,0,5,12,8,23,10,20
Rad54b,chr4,11558922,11615805,+,56883,309,9,0,0,0,13,49,28,27,6,50
Fsbp,chr4,11579665,11587591,+,7926,0,11,0,0,0,3,1,3,0,0,2
Gm11832,chr4,11611139,11615007,-,3868,0,0,0,0,0,5,1,2,0,0,3
Gm11833,chr4,11649647,11650499,-,852,0,0,0,0,0,4,2,12,1,2,4
Gem,chr4,11704457,11714752,+,10295,427,693,257,426,450,77,4418,93,3081,70,3529
Cdh17,chr4,11758147,11817895,+,59748,0,1,11,73,10,25,2,17,7,13,18
Gm22477,chr4,11928424,11928739,+,315,0,0,0,0,0,0,0,1,0,0,1
Gm25002,chr4,11948887,11948950,+,63,0,0,0,0,0,1,0,0,0,0,2
Pdp1,chr4,11958184,11966452,-,8268,145,517,490,695,853,376,1177,577,950,527,1229
1700123M08Rik,chr4,11966565,11994280,+,27715,59,0,10,24,1,23,33,25,27,23,28
Gm11840,chr4,11999474,12009043,-,9569,0,0,0,0,0,0,0,0,0,0,0
Gm11842,chr4,12027505,12040894,+,13389,0,0,0,0,0,0,0,2,0,0,0
Tmem67,chr4,12039355,12090020,-,50665,2,47,0,1,9,32,62,48,85,65,80
Rbm12b2,chr4,12089439,12096243,+,6804,204,334,111,245,258,79,277,97,210,96,301
Gm11839,chr4,12114284,12116236,+,1952,0,0,12,7,54,3,5,5,20,1,6
Gm11841,chr4,12125290,12127252,+,1962,0,0,0,0,0,0,0,0,0,0,0
Gm11843,chr4,12131551,12131975,-,424,0,0,0,0,0,1,2,2,2,2,3
Rbm12b1,chr4,12140264,12146731,+,6467,268,250,118,333,118,101,182,122,155,148,256
Fam92a,chr4,12153409,12172015,-,18606,308,821,342,420,436,156,507,173,545,209,562
Gm11847,chr4,12232833,12233951,+,1118,3,2,2,2,1,1,2,2,2,0,9
Gm11846,chr4,12271399,12314583,+,43184,0,0,0,0,0,5,0,5,0,0,2
Gm37985,chr4,12597388,12671843,+,74455,0,0,0,0,0,70,2,105,13,59,18
n-R5s182,chr4,12812706,12812812,+,106,0,0,0,0,0,0,0,0,0,0,0
Triqk,chr4,12906838,12983553,+,76715,0,0,0,0,0,0,0,2,0,0,0
Gm11820,chr4,13076140,13096806,+,20666,0,0,0,0,0,0,0,0,0,0,0
Gm26250,chr4,13266985,13267050,-,65,0,0,0,0,0,0,0,0,0,0,0
Gm11819,chr4,13444770,13445141,+,371,0,0,0,0,0,2,0,0,0,1,0
Gm11826,chr4,13482755,13483192,-,437,2,8,8,7,5,12,12,24,8,20,11
Gm11825,chr4,13606034,13606769,+,735,0,0,0,0,0,0,0,0,0,3,0
Gm23162,chr4,13622643,13622763,-,120,0,0,0,0,0,0,0,0,0,0,0
Runx1t1,chr4,13743436,13893649,+,150213,0,0,0,0,0,14,0,33,3,16,5
Gm11823,chr4,13919954,13995193,-,75239,0,0,0,0,0,1,0,2,0,1,0
Gm24068,chr4,14079809,14079940,-,131,0,0,0,0,0,0,0,0,0,1,0
Gm11824,chr4,14170066,14170911,+,845,0,2,0,3,0,23,13,18,9,15,6
1700120G11Rik,chr4,14219496,14237450,-,17954,0,0,0,0,0,4,1,2,1,6,1
Gm24908,chr4,14239618,14239744,+,126,0,0,0,0,0,1,0,0,0,1,0
Gm11836,chr4,14433891,14434331,+,440,4,4,11,4,7,47,76,35,64,40,31
Slc26a7,chr4,14502430,14621805,-,119375,0,0,0,0,0,0,0,5,1,5,4
Lrrc69,chr4,14623620,14796060,-,172440,0,0,0,0,0,3,2,8,4,5,3
Gm11838,chr4,14766335,14766565,+,230,0,1,0,0,0,0,0,1,1,2,0
Otud6b,chr4,14809498,14826587,-,17089,714,924,522,884,201,413,983,593,913,714,1073
Pip4p2,chr4,14864076,14915176,+,51100,932,758,758,788,374,489,1119,585,940,639,1083
Gm11837,chr4,14929908,14953030,+,23122,0,0,0,0,0,0,0,0,0,0,0
Necab1,chr4,14952245,15149794,-,197549,0,0,0,0,0,7,0,16,5,7,4
Gm11844,chr4,15022582,15031987,+,9405,0,0,0,0,0,2,0,7,3,2,6
Gm11845,chr4,15154392,15154718,+,326,0,0,0,0,0,0,0,3,0,0,0
Tmem64,chr4,15265831,15286753,+,20922,1027,1199,744,1018,697,437,1054,371,620,374,824
Gm24317,chr4,15383148,15383254,+,106,0,0,0,0,0,0,0,0,0,0,0
Gm11856,chr4,15486366,15486790,+,424,0,0,0,0,0,3,2,2,0,1,0
Gm11859,chr4,15531657,15532111,-,454,0,0,0,0,0,0,0,0,0,0,0
Gm11857,chr4,15636169,15636492,+,323,0,0,0,0,0,0,0,2,2,0,0
Gm11858,chr4,15740930,15741767,-,837,0,0,0,0,0,0,0,1,0,2,0
Gm11855,chr4,15819074,15821370,-,2296,0,0,0,0,0,4,3,6,1,0,3
Gm24567,chr4,15819909,15820029,+,120,0,0,0,0,0,0,0,0,0,1,0
Calb1,chr4,15881264,15908064,+,26800,0,0,0,0,0,6,0,9,0,9,0
Gm26148,chr4,15911567,15911634,-,67,0,0,0,0,0,0,0,0,0,0,0
Decr1,chr4,15917240,15945507,-,28267,207,465,281,415,297,210,831,295,699,297,883
Mir6400,chr4,15942900,15942991,-,91,0,0,15,0,0,0,0,0,0,0,0
Nbn,chr4,15957925,15992589,+,34664,1044,1057,731,1166,839,608,1116,585,1005,775,1348
Gm11869,chr4,15969572,15969928,-,356,0,0,0,0,0,8,0,23,5,7,6
Osgin2,chr4,15997121,16013888,-,16767,523,538,642,734,741,318,721,389,617,383,778
Gm11870,chr4,16011005,16012326,-,1321,0,0,0,0,0,0,2,12,4,3,6
Gm11874,chr4,16120759,16120888,-,129,0,0,0,0,0,0,0,0,0,0,0
Ripk2,chr4,16122733,16163647,-,40914,666,696,771,665,939,401,846,555,815,461,976
Gm22690,chr4,16129566,16129675,-,109,3,0,0,0,0,0,0,0,0,0,0
A530072M11Rik,chr4,16164110,16266225,+,102115,50,94,75,64,19,38,89,72,126,41,116
Gm11865,chr4,16246269,16249514,+,3245,0,0,0,14,0,1,1,3,4,0,5
Gm37355,chr4,16384052,16384657,+,605,0,0,0,0,0,2,0,1,0,2,0
Gm11864,chr4,16390445,16391664,-,1219,0,0,0,0,0,0,0,0,0,1,0
Gm11861,chr4,16464876,16509323,+,44447,0,0,0,0,0,2,0,1,0,0,0
Gm24978,chr4,16675923,16676029,+,106,0,0,0,0,0,0,0,0,0,3,0
Gm11862,chr4,16714944,16715602,+,658,0,0,0,0,0,0,0,3,0,0,0
Gm23975,chr4,16861689,16861794,-,105,0,0,0,0,0,0,0,0,0,0,0
Gm11848,chr4,17032688,17033660,-,972,0,0,0,0,0,0,0,2,0,1,0
Gm11850,chr4,17045574,17046052,-,478,0,0,0,0,0,6,0,2,0,5,1
Gm11849,chr4,17256101,17256361,-,260,0,0,0,0,0,0,0,0,0,0,0
Gm23384,chr4,17559917,17560019,-,102,0,0,0,0,0,0,0,0,0,0,0
Gm11851,chr4,17656675,17657963,-,1288,0,0,0,0,0,4,0,10,1,3,0
Mmp16,chr4,17852893,18119145,+,266252,0,0,0,0,0,10,0,21,1,9,7
Gm11860,chr4,18009218,18010227,-,1009,0,0,0,0,0,3,0,0,0,0,0
Gm11852,chr4,18193531,18193752,+,221,0,0,0,0,0,1,0,1,0,0,0
Gm11867,chr4,18407349,18891842,+,484493,0,0,0,0,0,2,0,5,1,1,4
Gm11854,chr4,18471669,18472114,-,445,0,0,0,0,0,1,0,0,0,1,0
Gm11853,chr4,18472189,18474298,+,2109,0,0,0,0,0,0,0,2,0,3,0
Gm25971,chr4,18708748,18709033,+,285,0,0,0,0,0,1,0,0,0,0,0
Gm24419,chr4,18730217,18730548,-,331,0,0,0,0,0,0,0,0,0,1,1
Gm11868,chr4,18844202,18845679,-,1477,26,44,14,29,40,17,52,25,43,29,55
Cnbd1,chr4,18860454,19122526,-,262072,0,0,0,0,0,6,0,6,1,3,0
Gm12392,chr4,18964564,18965501,+,937,0,0,0,0,0,0,0,0,0,0,0
Gm12393,chr4,19259096,19259943,+,847,0,0,0,0,0,21,0,18,3,18,11
Cngb3,chr4,19280850,19510623,+,229773,0,0,0,0,0,0,0,0,1,4,1
Gm11877,chr4,19298333,19299184,+,851,1,0,0,0,0,1,1,1,1,0,3
Gm25655,chr4,19514490,19514779,-,289,0,0,0,0,0,1,0,0,0,1,0
Cpne3,chr4,19519254,19570108,-,50854,786,1133,531,1424,1104,710,1440,680,1431,683,1505
Rmdn1,chr4,19575162,19606932,+,31770,292,289,432,461,407,293,545,366,665,345,710
Gm12353,chr4,19605451,19651130,+,45679,0,0,0,0,0,1,8,1,8,6,12
Wwp1,chr4,19608303,19708993,-,100690,365,911,152,1121,1001,238,1722,290,2234,302,2421
Gm12354,chr4,19716732,19720199,-,3467,0,0,0,0,0,0,0,1,0,0,0
Slc7a13,chr4,19818725,19842218,+,23493,0,0,0,0,0,1,0,2,4,2,0
Atp6v0d2,chr4,19876841,19922605,-,45764,50,13,0,0,0,3,51,1,85,2,92
4930480G23Rik,chr4,19933841,20005671,-,71830,0,0,0,0,0,3,3,23,8,6,4
Ttpa,chr4,20007938,20030785,+,22847,0,0,0,0,0,1,0,0,0,0,3
Ggh,chr4,20042052,20066750,+,24698,601,814,492,887,684,324,682,438,786,445,791
Nkain3,chr4,20118874,20778866,-,659992,0,0,0,0,0,7,0,5,2,12,3
Gm11872,chr4,20343706,20347818,+,4112,0,0,0,0,0,2,0,1,0,1,2
Gm11873,chr4,20391096,20392399,+,1303,0,0,0,0,0,1,0,4,0,3,0
Gm11871,chr4,21009880,21010940,-,1060,0,0,0,0,0,4,0,0,0,0,0
Gm22817,chr4,21270075,21270430,+,355,0,0,0,0,0,1,0,0,0,0,0
Gm25977,chr4,21328520,21328604,+,84,0,0,0,0,0,4,0,0,0,2,0
Gm11875,chr4,21626380,21627178,+,798,0,0,0,0,0,0,0,0,0,1,0
Gm11876,chr4,21671040,21671308,+,268,0,0,0,0,0,0,0,0,0,0,1
Prdm13,chr4,21677480,21685963,-,8483,0,0,0,0,0,6,0,6,1,8,2
Ccnc,chr4,21727701,21759922,+,32221,928,858,677,1058,1403,272,699,442,601,493,877
Tstd3,chr4,21757382,21767212,-,9830,296,481,479,580,440,111,272,143,279,118,342
Usp45,chr4,21767156,21837872,+,70716,341,1054,329,736,651,271,528,236,531,211,719
Pnisr,chr4,21847583,21876475,+,28892,2819,3443,1411,3485,4594,924,3093,1059,4597,1154,5152
Coq3,chr4,21879673,21912162,+,32489,105,414,291,263,202,335,486,390,399,394,540
Faxc,chr4,21931329,21996839,+,65510,0,0,0,0,0,16,0,26,3,15,5
Gm11885,chr4,22006762,22008189,-,1427,0,0,0,0,0,1,0,1,0,5,0
Gm11880,chr4,22117134,22117532,-,398,0,0,0,0,0,2,0,0,0,0,0
Gm11882,chr4,22275833,22276338,+,505,0,0,0,0,0,0,0,0,0,0,0
Fbxl4,chr4,22357543,22434091,+,76548,540,401,460,346,586,427,890,524,831,415,812
Gm24607,chr4,22396570,22396702,+,132,0,0,0,0,0,0,1,0,0,2,0
Gm37900,chr4,22408291,22412095,+,3804,0,0,0,1,0,6,7,9,18,2,30
Pou3f2,chr4,22482780,22488366,-,5586,0,0,0,0,0,4,1,7,5,8,5
Gm30731,chr4,22490548,22493126,+,2578,0,0,0,0,0,0,0,0,0,0,0
Gm11878,chr4,22519628,22520027,+,399,0,3,5,5,3,4,6,8,4,4,3
Gm11881,chr4,22528438,22529009,-,571,0,0,0,0,0,6,0,0,0,1,0
